page_identity,faq_index,question,normalized_question,answer_word_count,within_page_unique,cross_page_duplicate_count,intent_resolution,status,page_sha256
O5-ideas,4,Can strong Ideas cause more thinking than doing?,canstrongideascausemorethinkingthandoing,20,true,1,unique_intent,PASS,4a987af45d64a4ddb171ddcd67c8e0e6913fab45620241561c1e57c9f49d02e4
O5-ideas,5,Can education change Ideas?,caneducationchangeideas,18,true,1,unique_intent,PASS,4a987af45d64a4ddb171ddcd67c8e0e6913fab45620241561c1e57c9f49d02e4
O6-values,1,Does strong Values mean having no principles?,doesstrongvaluesmeanhavingnoprinciples,11,true,1,unique_intent,PASS,b9277c04edd2eed3908ed30ba3a5d1e8cd4f660e575d43c3e7c7c10d35e96831
O6-values,2,Does weaker Values mean being backward or conservative?,doesweakervaluesmeanbeingbackwardorconservative,22,true,1,unique_intent,PASS,b9277c04edd2eed3908ed30ba3a5d1e8cd4f660e575d43c3e7c7c10d35e96831
O6-values,3,Can Values predict political ideology or voting?,canvaluespredictpoliticalideologyorvoting,18,true,1,unique_intent,PASS,b9277c04edd2eed3908ed30ba3a5d1e8cd4f660e575d43c3e7c7c10d35e96831
O6-values,4,Can someone train greater openness in Values?,cansomeonetraingreateropennessinvalues,15,true,1,unique_intent,PASS,b9277c04edd2eed3908ed30ba3a5d1e8cd4f660e575d43c3e7c7c10d35e96831
O6-values,5,Does disagreeing with family prove strong Values?,doesdisagreeingwithfamilyprovestrongvalues,21,true,1,unique_intent,PASS,b9277c04edd2eed3908ed30ba3a5d1e8cd4f660e575d43c3e7c7c10d35e96831
C1-competence,1,Does weaker Competence mean lower ability?,doesweakercompetencemeanlowerability,11,true,1,unique_intent,PASS,e145d8a6ac59db62069d7dd4f724b93b13cc83d913ad5e7008f40b6d2da69ead
C1-competence,2,Are people with stronger Competence arrogant?,arepeoplewithstrongercompetencearrogant,12,true,1,unique_intent,PASS,e145d8a6ac59db62069d7dd4f724b93b13cc83d913ad5e7008f40b6d2da69ead
C1-competence,3,Is Competence the same as self-confidence?,iscompetencethesameasselfconfidence,15,true,1,unique_intent,PASS,e145d8a6ac59db62069d7dd4f724b93b13cc83d913ad5e7008f40b6d2da69ead
C1-competence,4,Can successful experiences increase Competence?,cansuccessfulexperiencesincreasecompetence,18,true,1,unique_intent,PASS,e145d8a6ac59db62069d7dd4f724b93b13cc83d913ad5e7008f40b6d2da69ead
C1-competence,5,How can a leader support someone with weaker Competence?,howcanaleadersupportsomeonewithweakercompetence,20,true,1,unique_intent,PASS,e145d8a6ac59db62069d7dd4f724b93b13cc83d913ad5e7008f40b6d2da69ead
C2-order,1,Is strong Order the same as obsessive-compulsive disorder?,isstrongorderthesameasobsessivecompulsivedisorder,18,true,1,unique_intent,PASS,6ca26fc4a0b1a2b63ca1f9e965b4e7d7c8588f4eea539c7c877faadcddec84bc
C2-order,2,Does weaker Order mean someone is irresponsible?,doesweakerordermeansomeoneisirresponsible,7,true,1,unique_intent,PASS,6ca26fc4a0b1a2b63ca1f9e965b4e7d7c8588f4eea539c7c877faadcddec84bc
C2-order,3,Can Order coexist with creativity?,canordercoexistwithcreativity,10,true,1,unique_intent,PASS,6ca26fc4a0b1a2b63ca1f9e965b4e7d7c8588f4eea539c7c877faadcddec84bc
C2-order,4,How can people with different Order preferences live or work together?,howcanpeoplewithdifferentorderpreferencesliveorworktogether,14,true,1,unique_intent,PASS,6ca26fc4a0b1a2b63ca1f9e965b4e7d7c8588f4eea539c7c877faadcddec84bc
C2-order,5,Can Order change across life stages?,canorderchangeacrosslifestages,17,true,1,unique_intent,PASS,6ca26fc4a0b1a2b63ca1f9e965b4e7d7c8588f4eea539c7c877faadcddec84bc
C3-dutifulness,1,Are people with strong Dutifulness easy to exploit?,arepeoplewithstrongdutifulnesseasytoexploit,14,true,1,unique_intent,PASS,e803c4d8c2df9600d1003a7ae59e72e6dd27f3fad406e00b72708de925f76baa
C3-dutifulness,2,Does weaker Dutifulness mean immorality?,doesweakerdutifulnessmeanimmorality,10,true,1,unique_intent,PASS,e803c4d8c2df9600d1003a7ae59e72e6dd27f3fad406e00b72708de925f76baa
C3-dutifulness,3,How is Dutifulness different from people pleasing?,howisdutifulnessdifferentfrompeoplepleasing,19,true,1,unique_intent,PASS,e803c4d8c2df9600d1003a7ae59e72e6dd27f3fad406e00b72708de925f76baa
C3-dutifulness,4,Can Dutifulness be strengthened through practice?,candutifulnessbestrengthenedthroughpractice,16,true,1,unique_intent,PASS,e803c4d8c2df9600d1003a7ae59e72e6dd27f3fad406e00b72708de925f76baa
C3-dutifulness,5,Does childhood education determine Dutifulness?,doeschildhoodeducationdeterminedutifulness,11,true,1,unique_intent,PASS,e803c4d8c2df9600d1003a7ae59e72e6dd27f3fad406e00b72708de925f76baa
C4-achievement-striving,1,Does strong Achievement Striving guarantee success?,doesstrongachievementstrivingguaranteesuccess,13,true,1,unique_intent,PASS,203014b560974d683f788d480f21daf9ce75b8611f304119b0c363049490c831
C4-achievement-striving,2,Does weaker Achievement Striving mean lacking ambition or growth?,doesweakerachievementstrivingmeanlackingambitionorgrowth,16,true,1,unique_intent,PASS,203014b560974d683f788d480f21daf9ce75b8611f304119b0c363049490c831
C4-achievement-striving,3,How is Achievement Striving different from perfectionism?,howisachievementstrivingdifferentfromperfectionism,17,true,1,unique_intent,PASS,203014b560974d683f788d480f21daf9ce75b8611f304119b0c363049490c831
C4-achievement-striving,4,Can this tendency change?,canthistendencychange,14,true,1,unique_intent,PASS,203014b560974d683f788d480f21daf9ce75b8611f304119b0c363049490c831
C4-achievement-striving,5,How can I support a highly achievement-striving partner or friend?,howcanisupportahighlyachievementstrivingpartnerorfriend,20,true,1,unique_intent,PASS,203014b560974d683f788d480f21daf9ce75b8611f304119b0c363049490c831
C5-self-discipline,1,Does weaker Self-Discipline mean laziness?,doesweakerselfdisciplinemeanlaziness,12,true,1,unique_intent,PASS,67ca8308554001748fddbaaabfcb4008ee5e6e4d2fc3a0757493ad704b71e308
C5-self-discipline,2,Can Self-Discipline improve through training?,canselfdisciplineimprovethroughtraining,18,true,1,unique_intent,PASS,67ca8308554001748fddbaaabfcb4008ee5e6e4d2fc3a0757493ad704b71e308
C5-self-discipline,3,Are highly self-disciplined people boring?,arehighlyselfdisciplinedpeopleboring,10,true,1,unique_intent,PASS,67ca8308554001748fddbaaabfcb4008ee5e6e4d2fc3a0757493ad704b71e308
C5-self-discipline,4,How is Self-Discipline different from habit?,howisselfdisciplinedifferentfromhabit,14,true,1,unique_intent,PASS,67ca8308554001748fddbaaabfcb4008ee5e6e4d2fc3a0757493ad704b71e308
C5-self-discipline,5,Does Extraversion or Introversion determine Self-Discipline?,doesextraversionorintroversiondetermineselfdiscipline,11,true,1,unique_intent,PASS,67ca8308554001748fddbaaabfcb4008ee5e6e4d2fc3a0757493ad704b71e308
C6-deliberation,1,Does strong Deliberation mean indecision?,doesstrongdeliberationmeanindecision,9,true,1,unique_intent,PASS,d1caecaf4c54b72461ed03a1323c9bc10cc4a00d4813c8eb61124543f889e137
C6-deliberation,2,Does weaker Deliberation mean recklessness?,doesweakerdeliberationmeanrecklessness,10,true,1,unique_intent,PASS,d1caecaf4c54b72461ed03a1323c9bc10cc4a00d4813c8eb61124543f889e137
C6-deliberation,3,Is stronger Deliberation always better for major decisions?,isstrongerdeliberationalwaysbetterformajordecisions,16,true,1,unique_intent,PASS,d1caecaf4c54b72461ed03a1323c9bc10cc4a00d4813c8eb61124543f889e137
C6-deliberation,4,How can people with different decision tempos work together?,howcanpeoplewithdifferentdecisiontemposworktogether,14,true,1,unique_intent,PASS,d1caecaf4c54b72461ed03a1323c9bc10cc4a00d4813c8eb61124543f889e137
C6-deliberation,5,Can environment change Deliberation?,canenvironmentchangedeliberation,16,true,1,unique_intent,PASS,d1caecaf4c54b72461ed03a1323c9bc10cc4a00d4813c8eb61124543f889e137
E1-warmth,1,Is Warmth the same as pleasing other people?,iswarmththesameaspleasingotherpeople,9,true,1,unique_intent,PASS,b133e0ae6d00583a6921fe122e0c63a2d65eb3daf275963a23deb09d2d63f251
E1-warmth,2,Can someone with weaker Warmth be a good leader?,cansomeonewithweakerwarmthbeagoodleader,11,true,1,unique_intent,PASS,b133e0ae6d00583a6921fe122e0c63a2d65eb3daf275963a23deb09d2d63f251
E1-warmth,3,Is it contradictory to be warm in one setting and cool in another?,isitcontradictorytobewarminonesettingandcoolinanother,10,true,1,unique_intent,PASS,b133e0ae6d00583a6921fe122e0c63a2d65eb3daf275963a23deb09d2d63f251
E1-warmth,4,Can too much Warmth seem insincere?,cantoomuchwarmthseeminsincere,18,true,1,unique_intent,PASS,b133e0ae6d00583a6921fe122e0c63a2d65eb3daf275963a23deb09d2d63f251
E1-warmth,5,Can I become more expressive?,canibecomemoreexpressive,16,true,1,unique_intent,PASS,b133e0ae6d00583a6921fe122e0c63a2d65eb3daf275963a23deb09d2d63f251
E2-gregariousness,1,Does weaker Gregariousness mean social anxiety?,doesweakergregariousnessmeansocialanxiety,10,true,1,unique_intent,PASS,26f1da4612a006aa5ed5a5b3122bcc98bd7c0a0cecb08d1a3511f10b45038530
E2-gregariousness,2,Are highly gregarious people equally active online?,arehighlygregariouspeopleequallyactiveonline,10,true,1,unique_intent,PASS,26f1da4612a006aa5ed5a5b3122bcc98bd7c0a0cecb08d1a3511f10b45038530
E2-gregariousness,3,Can Gregariousness change?,cangregariousnesschange,14,true,1,unique_intent,PASS,26f1da4612a006aa5ed5a5b3122bcc98bd7c0a0cecb08d1a3511f10b45038530
E2-gregariousness,4,Can highly gregarious people enjoy solitude?,canhighlygregariouspeopleenjoysolitude,11,true,1,unique_intent,PASS,26f1da4612a006aa5ed5a5b3122bcc98bd7c0a0cecb08d1a3511f10b45038530
E2-gregariousness,5,Can a socially skilled person have weaker Gregariousness?,canasociallyskilledpersonhaveweakergregariousness,9,true,1,unique_intent,PASS,26f1da4612a006aa5ed5a5b3122bcc98bd7c0a0cecb08d1a3511f10b45038530
E3-assertiveness,1,Are highly assertive people uncooperative?,arehighlyassertivepeopleuncooperative,7,true,1,unique_intent,PASS,987390639defd0c7bad73b30db3a2523f56aa56a99f3d4586413f2332b03e2bd
E3-assertiveness,2,Can someone with weaker Assertiveness lead?,cansomeonewithweakerassertivenesslead,9,true,1,unique_intent,PASS,987390639defd0c7bad73b30db3a2523f56aa56a99f3d4586413f2332b03e2bd
E3-assertiveness,3,Can gender affect how Assertiveness is judged?,cangenderaffecthowassertivenessisjudged,17,true,1,unique_intent,PASS,987390639defd0c7bad73b30db3a2523f56aa56a99f3d4586413f2332b03e2bd
E3-assertiveness,4,Can Assertiveness be practiced?,canassertivenessbepracticed,16,true,1,unique_intent,PASS,987390639defd0c7bad73b30db3a2523f56aa56a99f3d4586413f2332b03e2bd
E3-assertiveness,5,How is Assertiveness different from rudeness?,howisassertivenessdifferentfromrudeness,12,true,1,unique_intent,PASS,987390639defd0c7bad73b30db3a2523f56aa56a99f3d4586413f2332b03e2bd
E4-activity,1,Does stronger Activity mean better health?,doesstrongeractivitymeanbetterhealth,8,true,1,unique_intent,PASS,d6d388625b3fd4cf42db510f25ac0d4c73c8a0f61f353b78e23bd44adcb9bed8
E4-activity,2,Is weaker Activity a waste of time?,isweakeractivityawasteoftime,8,true,1,unique_intent,PASS,d6d388625b3fd4cf42db510f25ac0d4c73c8a0f61f353b78e23bd44adcb9bed8
E4-activity,3,Can external incentives change Activity?,canexternalincentiveschangeactivity,14,true,1,unique_intent,PASS,d6d388625b3fd4cf42db510f25ac0d4c73c8a0f61f353b78e23bd44adcb9bed8
E4-activity,4,How is Activity related to energy?,howisactivityrelatedtoenergy,13,true,1,unique_intent,PASS,d6d388625b3fd4cf42db510f25ac0d4c73c8a0f61f353b78e23bd44adcb9bed8
E4-activity,5,How can I tell preference from situational busyness?,howcanitellpreferencefromsituationalbusyness,15,true,1,unique_intent,PASS,d6d388625b3fd4cf42db510f25ac0d4c73c8a0f61f353b78e23bd44adcb9bed8
E5-excitement-seeking,1,What is the relationship between Excitement Seeking and substance use?,whatistherelationshipbetweenexcitementseekingandsubstanceuse,16,true,1,unique_intent,PASS,718fc2f961bb0b13dc5e6b7228db63903f85f454108fcfeedcd2c65455e6ec83
E5-excitement-seeking,2,Do people with weaker Excitement Seeking have boring lives?,dopeoplewithweakerexcitementseekinghaveboringlives,12,true,1,unique_intent,PASS,718fc2f961bb0b13dc5e6b7228db63903f85f454108fcfeedcd2c65455e6ec83
E5-excitement-seeking,3,Does Excitement Seeking inevitably decline with age?,doesexcitementseekinginevitablydeclinewithage,13,true,1,unique_intent,PASS,718fc2f961bb0b13dc5e6b7228db63903f85f454108fcfeedcd2c65455e6ec83
E5-excitement-seeking,4,Is Excitement Seeking the same as adventurousness?,isexcitementseekingthesameasadventurousness,11,true,1,unique_intent,PASS,718fc2f961bb0b13dc5e6b7228db63903f85f454108fcfeedcd2c65455e6ec83
E5-excitement-seeking,5,Can I meet stimulation needs while keeping a stable job?,canimeetstimulationneedswhilekeepingastablejob,16,true,1,unique_intent,PASS,718fc2f961bb0b13dc5e6b7228db63903f85f454108fcfeedcd2c65455e6ec83
E6-positive-emotions,1,Does weaker Positive Emotions mean pessimism?,doesweakerpositiveemotionsmeanpessimism,8,true,1,unique_intent,PASS,960be3a98a038b6bb52cbfb7ddfa1ba6313b2e39f7f6406f761977f538a9e973
E6-positive-emotions,2,Are people with stronger Positive Emotions unrealistic?,arepeoplewithstrongerpositiveemotionsunrealistic,13,true,1,unique_intent,PASS,960be3a98a038b6bb52cbfb7ddfa1ba6313b2e39f7f6406f761977f538a9e973
E6-positive-emotions,3,Can Positive Emotions be cultivated?,canpositiveemotionsbecultivated,18,true,1,unique_intent,PASS,960be3a98a038b6bb52cbfb7ddfa1ba6313b2e39f7f6406f761977f538a9e973
E6-positive-emotions,4,Is strong Positive Emotions the same as forced positivity?,isstrongpositiveemotionsthesameasforcedpositivity,16,true,1,unique_intent,PASS,960be3a98a038b6bb52cbfb7ddfa1ba6313b2e39f7f6406f761977f538a9e973
E6-positive-emotions,5,How is emotional volatility related to Positive Emotions?,howisemotionalvolatilityrelatedtopositiveemotions,17,true,1,unique_intent,PASS,960be3a98a038b6bb52cbfb7ddfa1ba6313b2e39f7f6406f761977f538a9e973
A1-trust,1,Does strong Trust make someone a good person?,doesstrongtrustmakesomeoneagoodperson,9,true,1,unique_intent,PASS,ea51cfe1811f77c1b5f69ee11d21de04155d0064ecae4d59a4e779bd1b27f05b
A1-trust,2,Can someone with weaker Trust build close relationships?,cansomeonewithweakertrustbuildcloserelationships,10,true,1,unique_intent,PASS,ea51cfe1811f77c1b5f69ee11d21de04155d0064ecae4d59a4e779bd1b27f05b
A1-trust,3,Is Trust the same as ignorance or immaturity?,istrustthesameasignoranceorimmaturity,14,true,1,unique_intent,PASS,ea51cfe1811f77c1b5f69ee11d21de04155d0064ecae4d59a4e779bd1b27f05b
A1-trust,4,Can Trust be rebuilt after fraud or betrayal?,cantrustberebuiltafterfraudorbetrayal,15,true,1,unique_intent,PASS,ea51cfe1811f77c1b5f69ee11d21de04155d0064ecae4d59a4e779bd1b27f05b
A1-trust,5,Does culture affect Trust?,doescultureaffecttrust,14,true,1,unique_intent,PASS,ea51cfe1811f77c1b5f69ee11d21de04155d0064ecae4d59a4e779bd1b27f05b
A2-straightforwardness,1,Are highly straightforward people indiscreet?,arehighlystraightforwardpeopleindiscreet,11,true,1,unique_intent,PASS,f3f7a7de972ae635ddf2bc40eced6f84809525386a99caa43378e29bbdfc528b
A2-straightforwardness,2,Does weaker Straightforwardness mean lying?,doesweakerstraightforwardnessmeanlying,10,true,1,unique_intent,PASS,f3f7a7de972ae635ddf2bc40eced6f84809525386a99caa43378e29bbdfc528b
A2-straightforwardness,3,How can I stay direct without hurting people?,howcanistaydirectwithouthurtingpeople,16,true,1,unique_intent,PASS,f3f7a7de972ae635ddf2bc40eced6f84809525386a99caa43378e29bbdfc528b
A2-straightforwardness,4,Does weaker Straightforwardness mean being manipulative?,doesweakerstraightforwardnessmeanbeingmanipulative,5,true,1,unique_intent,PASS,f3f7a7de972ae635ddf2bc40eced6f84809525386a99caa43378e29bbdfc528b
A2-straightforwardness,5,Can Straightforwardness be learned?,canstraightforwardnessbelearned,15,true,1,unique_intent,PASS,f3f7a7de972ae635ddf2bc40eced6f84809525386a99caa43378e29bbdfc528b
A3-altruism,1,Does strong Altruism require unconditional self-sacrifice?,doesstrongaltruismrequireunconditionalselfsacrifice,9,true,1,unique_intent,PASS,120e36b0cd1a157cfe94e0fae041f3e7acb273e687cc85cb0492aaad2f2ee755
A3-altruism,2,Does weaker Altruism mean selfishness?,doesweakeraltruismmeanselfishness,8,true,1,unique_intent,PASS,120e36b0cd1a157cfe94e0fae041f3e7acb273e687cc85cb0492aaad2f2ee755
A3-altruism,3,What relationships work well with a highly altruistic person?,whatrelationshipsworkwellwithahighlyaltruisticperson,12,true,1,unique_intent,PASS,120e36b0cd1a157cfe94e0fae041f3e7acb273e687cc85cb0492aaad2f2ee755
A3-altruism,4,Can Altruism interfere with personal goals?,canaltruisminterferewithpersonalgoals,13,true,1,unique_intent,PASS,120e36b0cd1a157cfe94e0fae041f3e7acb273e687cc85cb0492aaad2f2ee755
A3-altruism,5,Can helping behavior be practiced?,canhelpingbehaviorbepracticed,15,true,1,unique_intent,PASS,120e36b0cd1a157cfe94e0fae041f3e7acb273e687cc85cb0492aaad2f2ee755
A4-compliance,1,Does strong Compliance make someone a pushover?,doesstrongcompliancemakesomeoneapushover,11,true,1,unique_intent,PASS,c8606fa447d797cd9b17cad5cc9a20467ae87912476668dfc2d6d7bfc9180ca6
A4-compliance,2,Can someone with weaker Compliance cooperate?,cansomeonewithweakercompliancecooperate,7,true,1,unique_intent,PASS,c8606fa447d797cd9b17cad5cc9a20467ae87912476668dfc2d6d7bfc9180ca6
A4-compliance,3,How can I distinguish wise yielding from fearful yielding?,howcanidistinguishwiseyieldingfromfearfulyielding,13,true,1,unique_intent,PASS,c8606fa447d797cd9b17cad5cc9a20467ae87912476668dfc2d6d7bfc9180ca6
A4-compliance,4,Can conflict de-escalation skills be trained?,canconflictdeescalationskillsbetrained,15,true,1,unique_intent,PASS,c8606fa447d797cd9b17cad5cc9a20467ae87912476668dfc2d6d7bfc9180ca6
A4-compliance,5,Is weaker Compliance a clinical antagonistic personality?,isweakercomplianceaclinicalantagonisticpersonality,11,true,1,unique_intent,PASS,c8606fa447d797cd9b17cad5cc9a20467ae87912476668dfc2d6d7bfc9180ca6
A5-modesty,1,Does strong Modesty mean low self-esteem?,doesstrongmodestymeanlowselfesteem,9,true,1,unique_intent,PASS,f2a878c5e9e03b8d770f122bf7ea54e87ac9e8441705665775c01af8ce2b1d4d
A5-modesty,2,Is weaker Modesty the same as boasting?,isweakermodestythesameasboasting,10,true,1,unique_intent,PASS,f2a878c5e9e03b8d770f122bf7ea54e87ac9e8441705665775c01af8ce2b1d4d
A5-modesty,3,How much does culture affect judgments of Modesty?,howmuchdoescultureaffectjudgmentsofmodesty,13,true,1,unique_intent,PASS,f2a878c5e9e03b8d770f122bf7ea54e87ac9e8441705665775c01af8ce2b1d4d
A5-modesty,4,How can a modest person handle an interview?,howcanamodestpersonhandleaninterview,9,true,1,unique_intent,PASS,f2a878c5e9e03b8d770f122bf7ea54e87ac9e8441705665775c01af8ce2b1d4d
A5-modesty,5,How is Modesty different from humility?,howismodestydifferentfromhumility,17,true,1,unique_intent,PASS,f2a878c5e9e03b8d770f122bf7ea54e87ac9e8441705665775c01af8ce2b1d4d
A6-tender-mindedness,1,Does strong Tender-Mindedness mean being soft?,doesstrongtendermindednessmeanbeingsoft,6,true,1,unique_intent,PASS,71a9ed2ea18069d67e9f76f736499d0e4d2faa6968f2c9184979972fb6a84bdb
A6-tender-mindedness,2,Can someone with weaker Tender-Mindedness care for others?,cansomeonewithweakertendermindednesscareforothers,12,true,1,unique_intent,PASS,71a9ed2ea18069d67e9f76f736499d0e4d2faa6968f2c9184979972fb6a84bdb
A6-tender-mindedness,3,Can strong Tender-Mindedness cause emotional exhaustion?,canstrongtendermindednesscauseemotionalexhaustion,19,true,1,unique_intent,PASS,71a9ed2ea18069d67e9f76f736499d0e4d2faa6968f2c9184979972fb6a84bdb
A6-tender-mindedness,4,How is compassion different from pity?,howiscompassiondifferentfrompity,15,true,1,unique_intent,PASS,71a9ed2ea18069d67e9f76f736499d0e4d2faa6968f2c9184979972fb6a84bdb
A6-tender-mindedness,5,Can sympathetic attention be practiced?,cansympatheticattentionbepracticed,14,true,1,unique_intent,PASS,71a9ed2ea18069d67e9f76f736499d0e4d2faa6968f2c9184979972fb6a84bdb
N1-anxiety,1,Does strong Anxiety mean an anxiety disorder?,doesstronganxietymeanananxietydisorder,20,true,1,unique_intent,PASS,13123652a42adc5aab39cd8c512c4187ec74ef81ab14392b5df1f7a13d27ac6d
N1-anxiety,2,Do I need medication?,doineedmedication,20,true,1,unique_intent,PASS,13123652a42adc5aab39cd8c512c4187ec74ef81ab14392b5df1f7a13d27ac6d
N1-anxiety,3,Can someone with weaker Anxiety still feel anxious?,cansomeonewithweakeranxietystillfeelanxious,15,true,1,unique_intent,PASS,13123652a42adc5aab39cd8c512c4187ec74ef81ab14392b5df1f7a13d27ac6d
N1-anxiety,4,Is Anxiety related to intelligence?,isanxietyrelatedtointelligence,19,true,1,unique_intent,PASS,13123652a42adc5aab39cd8c512c4187ec74ef81ab14392b5df1f7a13d27ac6d
N1-anxiety,5,How can I support a friend with stronger Anxiety?,howcanisupportafriendwithstrongeranxiety,21,true,1,unique_intent,PASS,13123652a42adc5aab39cd8c512c4187ec74ef81ab14392b5df1f7a13d27ac6d
N2-anger,1,Does strong Anger mean having a bad temper?,doesstrongangermeanhavingabadtemper,18,true,1,unique_intent,PASS,c49e0a2a2c4e2ec2ba370cb3cb85027a56d24564cfadc6ea0c9f0ee4b9742dce
N2-anger,2,Does strong Anger mean I need medical care?,doesstrongangermeanineedmedicalcare,19,true,1,unique_intent,PASS,c49e0a2a2c4e2ec2ba370cb3cb85027a56d24564cfadc6ea0c9f0ee4b9742dce
N2-anger,3,How can I distinguish adaptive from maladaptive anger?,howcanidistinguishadaptivefrommaladaptiveanger,18,true,1,unique_intent,PASS,c49e0a2a2c4e2ec2ba370cb3cb85027a56d24564cfadc6ea0c9f0ee4b9742dce
N2-anger,4,Is suppressing anger healthier?,issuppressingangerhealthier,18,true,1,unique_intent,PASS,c49e0a2a2c4e2ec2ba370cb3cb85027a56d24564cfadc6ea0c9f0ee4b9742dce
N2-anger,5,Can Anger change with age?,canangerchangewithage,16,true,1,unique_intent,PASS,c49e0a2a2c4e2ec2ba370cb3cb85027a56d24564cfadc6ea0c9f0ee4b9742dce
N3-depression,1,How is the Big Five Depression facet different from depressive disorder?,howisthebigfivedepressionfacetdifferentfromdepressivedisorder,21,true,1,unique_intent,PASS,8643d82006c0b1a9223f6e625a2d3e5349a553e9ffe3857689cd092325a0513d
N3-depression,2,Do I need to see a clinician?,doineedtoseeaclinician,20,true,1,unique_intent,PASS,8643d82006c0b1a9223f6e625a2d3e5349a553e9ffe3857689cd092325a0513d
N3-depression,3,Can someone with stronger Depression feel happy?,cansomeonewithstrongerdepressionfeelhappy,18,true,1,unique_intent,PASS,8643d82006c0b1a9223f6e625a2d3e5349a553e9ffe3857689cd092325a0513d
N3-depression,4,Is the Depression facet related to creativity?,isthedepressionfacetrelatedtocreativity,21,true,1,unique_intent,PASS,8643d82006c0b1a9223f6e625a2d3e5349a553e9ffe3857689cd092325a0513d
N3-depression,5,Is the Depression facet inherited?,isthedepressionfacetinherited,17,true,1,unique_intent,PASS,8643d82006c0b1a9223f6e625a2d3e5349a553e9ffe3857689cd092325a0513d
N4-self-consciousness,1,How is Self-Consciousness different from social anxiety?,howisselfconsciousnessdifferentfromsocialanxiety,21,true,1,unique_intent,PASS,48d3c9f7ab72b6c4a7e4651924ab63127c6821d87c7336046ca180ce4aa080cd
N4-self-consciousness,2,Does strong Self-Consciousness mean low self-esteem?,doesstrongselfconsciousnessmeanlowselfesteem,18,true,1,unique_intent,PASS,48d3c9f7ab72b6c4a7e4651924ab63127c6821d87c7336046ca180ce4aa080cd
N4-self-consciousness,3,How can someone with strong Self-Consciousness approach public speaking?,howcansomeonewithstrongselfconsciousnessapproachpublicspeaking,20,true,1,unique_intent,PASS,48d3c9f7ab72b6c4a7e4651924ab63127c6821d87c7336046ca180ce4aa080cd
N4-self-consciousness,4,Why can I talk at a party but feel tense on camera?,whycanitalkatapartybutfeeltenseoncamera,17,true,1,unique_intent,PASS,48d3c9f7ab72b6c4a7e4651924ab63127c6821d87c7336046ca180ce4aa080cd
N4-self-consciousness,5,Does Self-Consciousness require professional treatment?,doesselfconsciousnessrequireprofessionaltreatment,16,true,1,unique_intent,PASS,48d3c9f7ab72b6c4a7e4651924ab63127c6821d87c7336046ca180ce4aa080cd
N5-impulsiveness,1,Does strong Impulsiveness mean having no self-control?,doesstrongimpulsivenessmeanhavingnoselfcontrol,15,true,1,unique_intent,PASS,b872771598cea400d33439a807df99160f5dffcc4f9ee1e09efddefd29570274
N5-impulsiveness,2,Is Impulsiveness a mental disorder?,isimpulsivenessamentaldisorder,13,true,1,unique_intent,PASS,b872771598cea400d33439a807df99160f5dffcc4f9ee1e09efddefd29570274
N5-impulsiveness,3,Can Impulsiveness change?,canimpulsivenesschange,19,true,1,unique_intent,PASS,b872771598cea400d33439a807df99160f5dffcc4f9ee1e09efddefd29570274
N5-impulsiveness,4,Is Impulsiveness related to ADHD?,isimpulsivenessrelatedtoadhd,19,true,1,unique_intent,PASS,b872771598cea400d33439a807df99160f5dffcc4f9ee1e09efddefd29570274
N5-impulsiveness,5,When should someone seek professional help?,whenshouldsomeoneseekprofessionalhelp,18,true,1,unique_intent,PASS,b872771598cea400d33439a807df99160f5dffcc4f9ee1e09efddefd29570274
N6-vulnerability,1,Does strong Vulnerability mean poor stress tolerance?,doesstrongvulnerabilitymeanpoorstresstolerance,22,true,1,unique_intent,PASS,c64b7069b817955cd0e2a7bf61c3ae4b09cf066fc4e1cc2c5b21050c7bc93881
N6-vulnerability,2,Does strong Vulnerability make someone weak?,doesstrongvulnerabilitymakesomeoneweak,17,true,1,unique_intent,PASS,c64b7069b817955cd0e2a7bf61c3ae4b09cf066fc4e1cc2c5b21050c7bc93881
N6-vulnerability,3,Do I need psychotherapy?,doineedpsychotherapy,19,true,1,unique_intent,PASS,c64b7069b817955cd0e2a7bf61c3ae4b09cf066fc4e1cc2c5b21050c7bc93881
N6-vulnerability,4,Can Vulnerability change?,canvulnerabilitychange,18,true,1,unique_intent,PASS,c64b7069b817955cd0e2a7bf61c3ae4b09cf066fc4e1cc2c5b21050c7bc93881
N6-vulnerability,5,Does a person with weaker Vulnerability need no care?,doesapersonwithweakervulnerabilityneednocare,14,true,1,unique_intent,PASS,c64b7069b817955cd0e2a7bf61c3ae4b09cf066fc4e1cc2c5b21050c7bc93881
